"IHL","IP header length。4バイト単位。通常は5","unlearned"
"IPの識別子","パケットごとにつくID","unlearned"
"フラグメントオフセット","13ビット、8バイト単位。","unlearned"
"ToS","8bit。6bitのDiffServeがつく","unlearned"
"リンクローカル","169.254.*","unlearned"
"TCPのプロトコル番号","6","unlearned"
"IPデータグラム","パケットの集合。分割される前のやつ","unlearned"
"ディレクテッドブロードキャスト","異なるサブネットへのブロードキャスト","unlearned"
"TCPのデータオフセット","実質ヘッダ長。4バイト単位。通常は5","unlearned"
"NS","Nonse Sum","unlearned"
"CWR","Congestion Window Reduced","unlearned"
"ECE","ECN-Echo","unlearned"
"スライディングウィンドウ方式","TCPのやり方","unlearned"
"ウィンドウプローブ","1バイト分を送り、ウィンドウ更新が落ちていないか確かめる","unlearned"
"ピギーバック","通常200ms","unlearned"
"RTO","Retransmission Time Out。再送のたびに2倍になる","unlearned"
"高速再送","3回同じACKを受信したらそれだけ送りなおす。飛んだパケットが来ても捨てない","unlearned"
"TCPの切断","Fin/Ack, Ack, Fin/Ack, Ack","unlearned"
"輻輳ウィンドウ","ウィンドウのほかにもっている","unlearned"
"スロースタート","通知されたウィンドウに達するまで、パケットが返ってくるたびに1つずつ増やしていく","unlearned"
"輻輳回避アルゴリズム","輻輳ウィンドウを半分にし、直線的に増やす。再送タイムアウトの時、スロースタートからやり直す。半分に達したら1ずつ増やす","unlearned"
"ARPキャッシュの更新タイミング","キャッシュ内にデータがある送信元からのARP要求が届いた場合","unlearned"
"Gratuitous ARP","要求アドレスが自分のアドレス。重複アドレス検知（送信元アドレスは0）、フェールオーバー時の更新（送信元アドレスは自分のアドレス）","unlearned"
"RARP","Reverse ARP。IPをRARPサーバからもらう、ブロードキャストしてL2スイッチのMACテーブル更新に使う","unlearned"
"Proxy ARP","自分がそのアドレスを持っているとして代わりに応答するARP","unlearned"
"ICMPフレーム","タイプ、コード、チェックサム、データ","unlearned"
"エコー要求、応答","pingに使用","unlearned"
"宛先到達不能","ホスト到達不能、プロトコル到達不能、など","unlearned"
"ICMPリダイレクト","ホストが最適でないルートを使用したら帰ってくる","unlearned"
"時間超過","tracerouteに使用","unlearned"
"経路MTU","ICMPを利用","unlearned"
"リース期間","DHCPの期限","unlearned"
"DHCPの手順","Discover, Offer, （GARP）, Request, Ack","unlearned"
"DHCP更新","Request, Ack(ユニキャスト)","unlearned"
"DHCP解法","Release","unlearned"
"DHCPリレーエージェント","ルータ上で動作。DHCPのブロードキャストをユニキャストとして転送する","unlearned"
"リレーエージェント情報オプション","エージェントのMACアドレスや受け取ったポート番号などを付加して送る","unlearned"
"DHCPスヌーピング","TrustedなポートのDHCPサーバから割り当てがあったPCの通信のみを許可する。Untrustedは基本不許可。","unlearned"
"NAT越え","UDPヘッダの挿入、パススルー（2台以上は不可能）","unlearned"
"ロンゲストマッチアルゴリズム","最も限定されたルートが選択される","unlearned"
"ループバックインターフェース","OSPFのルータIDとして使用、BGPルータのピアで用いるIPアドレス、DSRへの割り当て","unlearned"
"nullインターフェース","破棄する","unlearned"
"PBR","ポリシーベースドルーティング","unlearned"
"VRF","Virtual Routing and Forwarding","unlearned"
"フローティングスタティック","障害発生時にスタティックに切り替える","unlearned"
"RIP","距離ベクトル（ホップ数最小選択）、全ての経路を広告","unlearned"
"ECMP","Equal Cost Multi Pass","unlearned"
"ポイントツーポイントネットワーク","2台のルータのみで作られるネットワーク","unlearned"
"バックボーンエリア","OSPF","unlearned"
"マルチアクセスネットワーク","3台以上のルータ。トランジットネットワーク、スタブネットワーク","unlearned"
"NBMA","非ブロードキャストマルチアクセス（VPNで作られたサブネット）","unlearned"
"DR、BDR","代表ルータ、バックアップ代表ルータ","unlearned"
"Adjacency","隣接関係","unlearned"
"OSPFマルチキャスト","代表ルータ(224.0.0.6)、全ルータ(224.0.0.5)。リンクステートの変化を通知。30分毎にはおこる","unlearned"
"パッシブインターフェース","スタブネットワークの外縁にあるOSPFルータが設定","unlearned"
"ABR","エリア境界ルータ。エリア間のリンクステートを共有。片方はバックボーン","unlearned"
"経路集約","OSPFで、経路をまとめること。どのコストにするかは実装依存。複数のABRがあるなら同じようにまとめる","unlearned"
"ASBR","AS境界ルータ","unlearned"
"再配布","OSPFドメイン外の経路を広告","unlearned"
"ルーティングループ","自分に再び再配布をさせないという条件を付ける？","unlearned"
"ルート集約によるルーティングループ","nullインターフェースに飛ばす","unlearned"
"OSPFのタイプ","1: router, 2: 経路サマリー, 3: 自サブネットの通知, 4: ASBRの通知, 5: ASBR外の経路を通知","unlearned"
"OSPFの死活管理","Helloパケット","unlearned"
"パスアトリビュート","BGPでのコスト的なやつ。AS_PATHでパス長を使う","unlearned"
"BGPピア","eBGP, iBGPピアがある","unlearned"
"ユニークローカル","fc00::/7","unlearned"
"リンクローカル","fe80::/10","unlearned"
"v6のループバック","::1","unlearned"
"v6のマルチキャスト","ff00::/8","unlearned"
"v6のアドレス解決","ルータ要請メッセージ、ルータ広告メッセージ","unlearned"
"近隣探索、近隣広告","リンク層アドレス解決、重複検知、到達不能検出","unlearned"
"v6のリダイレクトメッセージ","より良い経路があったら通知","unlearned"
"ステートレスアドレス自動設定","リンクローカル設定⇒ルータ要請⇒RA→自動生成して被りがなければしよう","unlearned"
"ステートフルアドレス自動設定","ステートレス＋DHCPv6サーバからDNSのIPを受け取る","unlearned"
"RDNSS","Recursive DNS server. DNSサーバのIPもRAで受け取る","unlearned"
