"ストリーム暗号方式","キーストリームを連続に生成する。初期化ベクトルIVをNonceとして使い、それを用いて共通カギを安全にできるようにしている。","unlearned"
"ブロック暗号方式","AESなど","unlearned"
"暗号利用モード","ブロックを繰り返し使っていく","unlearned"
"CBC","Cipher Block Chaining。暗号ブロック連鎖","unlearned"
"CBCの概要","（直前の暗号ブロック xor 平文）の暗号化　を連鎖","unlearned"
"CTRの概要","カウンタを暗号化 xor 平文　を繰り返す","unlearned"
"GCM","ガロア認証＋CTRモードにより、暗号化とメッセージ認証を同時に行う","unlearned"
"ECDSA","楕円曲線暗号","unlearned"
"EDH","ephemeral diffie hellman","unlearned"
"DH鍵交換","p＝素数,gを決める。a, bをそれぞれ決める。p^a, p^bを送る。p^a^bが鍵","unlearned"
"認証の方法","主体認証、メッセージ認証、第三者認証","unlearned"
"ユーザ認証","ユーザが正しい","unlearned"
"サーバ認証","サーバが正しい","unlearned"
"否認防止","送り主が正しい","unlearned"
"二要素認証","本人だけが知っている、本人だけが持っている、本人である","unlearned"
"ワンタイムパスワード","リプレイ攻撃を抑制","unlearned"
"チャレンジレスポンス方式","","unlearned"
"時刻同期方式","時刻をもとにトークンでパスワードを生成する。","unlearned"
"デジタル署名方式","否認防止とメッセージ認証が同時にできる","unlearned"
"バイオメトリクス方式","生態認証","unlearned"
"ICカード方式","紛失のリスクあり","unlearned"
"ハッシュアルゴリズム","衝突困難性、原像計算困難性、第二種原像計算困難性","unlearned"
"鍵付きハッシュ","平文＋パスワードをハッシュ化","unlearned"
"HMAC","Hash-based Message Authentication Code","unlearned"
"CBC-MAC, XCBC-MAC","IVを0にしてCBCで暗号化していくMACの作り方","unlearned"
"AEAD、GCM","暗号化とメッセージ認証を同時にする仕組み","unlearned"
"デジタル認証の原理","ダイジェストを秘密鍵で暗号化。公開鍵で復号したものと計算したものが一致すれば、送り主は秘密鍵を持っているし、メッセージも正しいとわかる","unlearned"
"第三者認証","電子証明書を検証する","unlearned"
"電子証明書の仕組み","CAにCSR（アルゴリズム、CAについて、サブジェクトや公開鍵についてなど）を発行する。CSRを秘密鍵で暗号化してCAに送る。CAが検証して、サインして送り返す","unlearned"
"電子証明書使用時の注意点","信頼できるCAから出ているか？正しい公開鍵か？送り主は正しいか？有効期限が切れていない、失効証明書リストに入っていない","unlearned"
"PKI","Public Key Infrastructure","unlearned"
"証明書チェーン","上位の証明書もまとめて送ること","unlearned"
"ルートCA、プライベートCA","自分の秘密鍵で署名するCA、自分で作るルートCA","unlearned"
"TCPフォールバック","512バイト以上のDNSはTCPを使用する","unlearned"
"ステートフルインスペクション","セッションにおける応答に対する規則は自動で追加されるタイプのFW","unlearned"
"ステートフルフェールオーバー","FWがダウンしたときに情報を引き継ぐこと。","unlearned"
"UTM","Unified Threat Management","unlearned"
"PAC","Proxy Auto Configuration","unlearned"
"Proxy ServerでのHTTP","パスにホスト名も含め、プロキシから送り出すときはホスト名を削除する","unlearned"
"リバースプロキシ","プロキシサーバでアプリケーションの通信を一度終端させ、新しくWebサーバとのセッションを貼る","unlearned"
"プロキシを利用したTLS通信","CONNECTを送り通信の媒介を依頼。TLSトンネルを作るため、プロキシ鯖が通信内容を知ることはない。CONNET→(SYN/ACK)→200OK→CLIENT HELLO ....","unlearned"
"IDS","ネットワーク型、ホスト型","unlearned"
"ネットワーク型IDS","シグネチャ型、アノマリ型","unlearned"
"IDSのポート設定","監視対象につなぐものはミラーポートのプロミスキャスでステルス化。別のポートをIDSコンソールにつなぐ。","unlearned"
"入口対策、出口対策","出口はバックドアを防ぐ。外部に出ていく通信をプロキシ経由にする、SSL可視化装置を使う、ファイアウォールを使うなど","unlearned"
"メールのスキャン","SMTP中継サーバとSMTP/POPサーバを設置する。SMTP/POPサーバは内部セグメントに置き、ウイルス対策を動作させる","unlearned"
"送信ドメイン認証","メールサーバが実施。送り主のDNS鯖に問い合わせ、正しいIPかを確認","unlearned"
"SPF","Sender Policy Framework。受信サイトのメールサーバがエンベロープのFromからドメインを取り出し、DNSのSPFレコードを使い認証する","unlearned"
"DKIM","Domain Keys Identified Mail。公開鍵をDNSのTXTに登録。秘密鍵で署名。","unlearned"
"第三者中継","サイト外部から受け取ったメールを外部に転送すること","unlearned"
"SMTP-AUTH","認証情報を交換する。POP before SMTPより新しい","unlearned"
"POP before SMTP","POPにアクセスして認証⇒しばらくアクセス許可","unlearned"
"OP24B","25番ポートブロック。動的割り当てアドレスからのISP外部へのTCP25番コネクションを禁止する。迷惑メールが社会全体で減る。","unlearned"
"サブミッションポート","OP25Bが例外的に許可する。基本的にSMTP-AUTHがかかる","unlearned"
"ハーフオープン","SYNの3番目を待っている状態","unlearned"
"DoS","Deniel of Service","unlearned"
"UDPフラッド","UDPを送り付け、Destination Unreachedを返させることで帯域を圧迫する","unlearned"
"DNSリフレクタ攻撃","オープンリゾルバに送る。DNSAｍｐとも","unlearned"
"CHAP","サーバがチャレンジコードを発行、ユーザがUとU+P+Cをハッシュしたものを送る。受信元がUを検索、同じなら認証完了","unlearned"
"EAP","Extensible Authentication Protocol","unlearned"
"EAPパケット","コード、識別子、長さ、タイプ、タイプデータ。要求、応答パケットではタイプに値を入れてやり取りし、タイプデータにユーザIDを入れる。","unlearned"
"802.1XのEAP","EAPOLにカプセル化して送る。","unlearned"
"AAAモデル","Authentication、Authorize、Accounting（認証、認可、アカウント管理）","unlearned"
"RADIUSパケット","コード、ID、長さ、タイプ、アトリビュート","unlearned"
"RADIUSを用いたCHAP","RADIUSクライアントがチャレンジを送り、利用者が返す。それをRADIUS要求としてサーバに送り、サーバが認可か拒否化を返す。最後に利用者に結果を返す","unlearned"
"RADIUSのアクセスチャレンジ","チャレンジをRADIUSサーバが生成して送る。","unlearned"
"オーセンティケータ","802.1Xにおける認証機能付きスイッチのこと","unlearned"
"サプリカント","802.1Xにおける認証を要求するもののこと","unlearned"
"802.1X","","unlearned"
"EAP-PEAP","認証にパスワードを使う802.1X","unlearned"
"EAP-TLS","認証に証明書を使う802.1X","unlearned"
