"フォールバック","縮退運転","unlearned"
"スケールアウト","数を増やすこと","unlearned"
"インライン型","直線的に入り中継する","unlearned"
"ハイパーバイザ型、ホストOS型","違う","unlearned"
"リナックスコンテナ技術","LXC","unlearned"
"ボリューム","コンテナがホストマシンのディレクトリをマウントすること","unlearned"
"マイクロサービスアーキテクチャ","コンテナと相性が良い","unlearned"
"ローリングアップデート","一部のコンテナからアップデートすること","unlearned"
"アクティブスタンバイ方式、デュアル方式","負荷と切り替え時間のトレードオフ","unlearned"
"ライブマイグレーション","専用回線を用意。スナップショットを送る→差分を送る→起動する","unlearned"
"プログレッシブ方式","インターレースの逆","unlearned"
"シンクライアント","セキュリティによい。高速化の工夫が必要","unlearned"
"TCP/IPオフロード","TCP/IPの処理をやってくれるNICの機能","unlearned"
"NICチーミング","複数使って耐障害性","unlearned"
"リンクアグリゲーション","NICを複数使って効率向上。IEEE802.1ax","unlearned"
"LACP","Link Aggregation Control Protocol","unlearned"
"動的/静的リンクアグリゲーション","動的はLACPを使って生き死にを検知。静的はリンクダウンのみ検地","unlearned"
"スタック接続","複数のネットワーク機器を専用ポートとかを使って一つにすること","unlearned"
"BPDU","BridgeProtocol Data Unit","unlearned"
"ブリッジID","ブリッジプライオリティ2バイト＋MACアドレス","unlearned"
"ルートポート","ルートブリッジに一番近いポート。同じなら送信元ブリッジ、ポートIDが小さい順に決める。","unlearned"
"ポートID","ポートプライオリティ1バイト＋ポート番号","unlearned"
"代表ポート","セグメントの中で一番ルートブリッジに近いポート。これがあると代表ブリッジになる","unlearned"
"オルタネートポート","ルートポートでないポート。ブロックされる。","unlearned"
"ブロッキング状態","BPDUの受信のみする","unlearned"
"リスニング状態","スパニングツリーの計算を行っている時間。データフレームの転送はしない。","unlearned"
"エージングタイム","ブリッジがMACテーブルのデータを捨てるまでの時間。リスニングタイムに短くなる","unlearned"
"ラーニング状態","リスニング状態から遷移。MACアドレステーブルの学習をする。データフレームは転送しない。","unlearned"
"転送状態","普通に動いている状態","unlearned"
"コンバージェンス","STPが収束すること","unlearned"
"RSTP","Rapid STP","unlearned"
"バックアップポート","代表ポートのスタンバイ","unlearned"
"VRID","virtual router id","unlearned"
"仮想MACアドレス、仮想IPアドレス","VRRPに存在","unlearned"
"VRRPの優先度","1バイト。仮想IPと物理IPが一致していたら255になる","unlearned"
"マスタールータ、バックアップルータ","バックアップは仕事をしない","unlearned"
"VRRP広告","通常1秒おきに、マスタールータからIPやVRID、優先度を送出。送信元を仮想MACにして学習させる","unlearned"
"プリエンプトモード","自分より優先度の高いVRRP広告を受け取ったら即座にバックアップ。","unlearned"
"VRRPのバックアップ⇒マスター","一定期間広告を受け取らないとなる。なったら仮想IP、仮想MACのGARPを送る","unlearned"
"トリガ、トラッキング","一つのインターフェースが死んだらルータ全体の優先度を下げること","unlearned"
"Sorryサーバ","ただいま混雑していますのサーバー","unlearned"
"ロードバランサ","ラウンドロビン、最短レスポンス時間、最小セッション数","unlearned"
"DSRの仕組み","LBとサーバのループバックにVIPを割り当てる。サーバはARPに応えない。LBがパケットを受け取るとMACのみ書き換えて送る。","unlearned"
"TLSアクセラレーション","LBでHTTPS復号をすること。セッションに必要な機能","unlearned"
"セッション維持機能","Cookie","unlearned"
"セッションクラスタリング（セッション共有）","LBでセッション維持をする必要がない","unlearned"
"クラスタシステムでの切り替え","TCPのRSTを送り、セッション番号などをリセット","unlearned"
"スプリットブレインシンドローム","2台のサーバがどちらも自分がマスタだと思って稼働すること。ARPが壊れ、共有ディスクも壊れる","unlearned"
"マルチホーミング","NATにより番号をうまく書き換えて応答するポートを固定し、DNSで答えるAレコードを調整することで負荷分散も行い、NSを2つ返すことで耐障害性もつける","unlearned"
"リンクステートトラッキング","上位のポートが落ちたら下位のポートにも伝播させる","unlearned"
"アクティブ/スタンバイのNICチーミングの冗長性","リンクステートトラッキング、ビーコン、STP","unlearned"
"サービス時間、待ち時間","サービスにかかる時間、サービスをしていない時間","unlearned"
"伝搬遅延時間","ネットワークの経過にかかる時間","unlearned"
"ノード内処理時間","シリアル化遅延時間以外にノード内でかかる時間","unlearned"
"待ち時間","ρ/(1-ρ) * サービス時間","unlearned"
"使用率","到着率/窓口 * サービス時間","unlearned"
"QoSの制御","帯域制御、優先制御","unlearned"
"CoS","Class of Service (VLan)","unlearned"
"Priority Queueing、WRR","2つを組み合わせて優先制御をする","unlearned"
"ギャランティード型","帯域を保証する方法","unlearned"
"IntServ、RSVP","帯域保証、その方法としてのResource Reservation Protocol","unlearned"
"シェーピング、ポリシング","バッファにためていって一以下に保つ、ある量を超えたら破棄する","unlearned"
"RTSP","Real Time Streaming Protocol","unlearned"
"プログレッシブダウンロード","HTTPを使い、ダウンロードしながら再生する。ジッタを軽減できる","unlearned"
"オンデマンド配信のストリーミング方式","RTPやRTSPを使っているverのプログレッシブダウンロード","unlearned"
"業務用通信","TCPを使いパケットの損失を起こさない。また、制御技術を使って他の通信に影響を与えない","unlearned"
"ToSフィールド","優先度(3)、遅延スループット信頼性…。もう使われていない","unlearned"
"ECNフィールド","ECT, CEを使う","unlearned"
"ECT","ECN-Capable Transport","unlearned"
"CE","Congestion Experienced","unlearned"
"ECNの方法","ECTフラグを1にする⇒CEが1になる→ECEが1になる→CWRが減る","unlearned"
"RSVPの仕組み","Pathメッセージを送信、Resvメッセージが返ってくる","unlearned"
"優先度タグ","VLANタグで、優先度を記すために造られた、VLAN IDが0x00のタグ","unlearned"
"CDN","オリジン⇒エッジサーバに分配する。最寄りのエッジサーバを選ぶことでRTTを減らし、アクセス集中も防げるかもしれない","unlearned"
"EDNS-Client-Subnet","EDNS0というDNS拡張プロトコルを使って実現","unlearned"
